cpp/.clang-format	probes/cpp_.clang-format--effective-config-is-pinned.sh probes/cpp_.clang-format--keys-canonical.sh probes/tools__ci_steps.py--the-format-gate-sees-only-tracked-sources.sh 
cpp/include/aletheia/dbc.hpp	probes/cpp_include_aletheia_dbc.hpp--definition-mirrors-agda-record.sh probes/cpp_include_aletheia_dbc.hpp--node-and-message-fields-are-typed.sh 
cpp/include/aletheia/detail/cache_keys.hpp	probes/cpp_include_aletheia_detail_cache_keys.hpp--comparator-agrees-with-key-ordering.sh 
cpp/include/aletheia/detail/rational_renderer.hpp	probes/cpp_include_aletheia_detail_rational_renderer.hpp--library-search-order.sh 
cpp/include/aletheia/enrich.hpp	 
cpp/include/aletheia/error.hpp	probes/cpp_include_aletheia_client.hpp--comment-citations-resolve.sh probes/cpp_include_aletheia_error.hpp--comment-citations-resolve.sh 
cpp/include/aletheia/excel.hpp	probes/cpp_include_aletheia_excel.hpp--template-never-overwrites.sh 
cpp/include/aletheia/limits.hpp	probes/cpp_include_aletheia_limits.hpp--mirrors-agda-limits-verbatim.sh probes/tools_check_limits_parity.py--the-cpp-mirror-is-gated.sh 
cpp/include/aletheia/log.hpp	 
cpp/include/aletheia/ltl.hpp	probes/cpp_include_aletheia_ltl.hpp--clone-preserves-every-alternative.sh probes/cpp_include_aletheia_ltl.hpp--mirrors-agda-constructors.sh 
cpp/include/aletheia/response.hpp	probes/cpp_include_aletheia_response.hpp--comment-citations-resolve.sh 
cpp/include/aletheia/types.hpp	probes/cpp_include_aletheia_client.hpp--comment-citations-resolve.sh probes/cpp_include_aletheia_types.hpp--dlc-byte-mapping-round-trips.sh probes/cpp_include_aletheia_types.hpp--no-float-escape-on-the-rational.sh probes/cpp_include_aletheia_types.hpp--rational-order-matches-exact-fractions.sh 
cpp/include/aletheia/validation.hpp	probes/cpp_include_aletheia_validation.hpp--the-format-contract-has-one-owner.sh 
cpp/include/aletheia/validation_issue.hpp	 
cpp/include/aletheia/yaml.hpp	probes/cpp_include_aletheia_yaml.hpp--header-example-compiles.sh 
cpp/sanitizer-ignorelist.txt	probes/cpp_sanitizer-ignorelist.txt--covers-the-vendored-tree-the-lane-compiles.sh 
cpp/src/backend.cpp	 
cpp/src/cli/cli.cpp	probes/cpp--every-caller-shares-one-library-search.sh 
cpp/src/cli/main.cpp	probes/cpp_src_cli_main.cpp--empty-argv-exits-two.sh 
cpp/src/client.cpp	probes/cpp_src_client.cpp--the-two-integer-readers-have-different-byte-orders.sh probes/cpp_src_client.cpp--utf8-validator-agrees-with-python.sh 
cpp/src/dbc.cpp	probes/cpp_src_dbc.cpp--lookups-survive-mutation-after-caching.sh 
cpp/src/detail/ffi_logic.cpp	 
cpp/src/detail/ffi_logic.hpp	 
cpp/src/detail/json.hpp	 
cpp/src/detail/loader_utils.cpp	probes/cpp_src_client.cpp--the-two-integer-readers-have-different-byte-orders.sh probes/cpp_src_detail_loader_utils.cpp--zip-walker-classifies-archives.sh 
cpp/src/detail/loader_utils.hpp	 
cpp/src/detail/mock_backend.hpp	probes/cpp_src_detail_mock_backend.hpp--sentinels-match-the-other-mocks.sh 
cpp/src/detail/rts_init.cpp	 
cpp/src/detail/rts_init.hpp	 
cpp/src/detail/rts_params.hpp	 
cpp/src/enrich.cpp	probes/cpp_src_enrich.cpp--formula-rendering-matches-python.sh 
cpp/src/excel.cpp	probes/cpp_src_excel.cpp--loader-keeps-the-runtime-error-kind.sh 
cpp/src/ffi_backend.cpp	probes/cpp_src_ffi_backend.cpp--refused-construction-loads-nothing.sh 
cpp/src/json_parse.cpp	 
cpp/src/json_serialize.cpp	 
cpp/src/mock_backend.cpp	probes/cpp_src_mock_backend.cpp--public-factory-answers-without-queueing.sh 
cpp/src/rational_renderer.cpp	probes/cpp--every-caller-shares-one-library-search.sh 
cpp/src/types.cpp	probes/cpp_.clang-tidy--the-gate-fails-on-a-discarded-return.sh probes/cpp_CMakeLists.txt--mull-plugin-rejects-file-prefix-map.sh probes/tools__ci_steps.py--the-format-gate-sees-only-tracked-sources.sh 
cpp/src/yaml.cpp	probes/cpp_src_yaml.cpp--loader-keeps-the-runtime-error-kind.sh 
cpp/tests/.clang-tidy	probes/cpp_.clang-tidy--header-disable-list-matches-checks.sh probes/cpp_tests_.clang-tidy--every-disable-earns-its-place.sh probes/cpp_tests_.clang-tidy--every-disable-is-inert-over-the-library.sh 
cpp/tests/cli_tests.cpp	 
cpp/tests/dbc_corpus_parity_tests.cpp	 
cpp/tests/doc_example_tests.cpp	probes/docs_reference_CPP_API.md--no-compiled-fence-hides-a-failure.sh 
cpp/tests/excel_tests.cpp	 
cpp/tests/fuzz/.clang-tidy	probes/cpp_.clang-tidy--header-disable-list-matches-checks.sh 
cpp/tests/fuzz/fuzz_decode_binary_frame.cpp	 
cpp/tests/fuzz/fuzz_parse_dbc_json.cpp	 
cpp/tests/fuzz/fuzz_parse_rational_number.cpp	 
cpp/tests/fuzz/fuzz_parse_response.cpp	probes/cpp_tests_fuzz_fuzz_parse_response.cpp--the-recipe-runs-and-is-written-once.sh 
cpp/tests/fuzz/seed/decode_binary_frame/empty.bin	 
cpp/tests/fuzz/seed/decode_binary_frame/header_only.bin	 
cpp/tests/fuzz/seed/decode_binary_frame/one_absent.bin	 
cpp/tests/fuzz/seed/decode_binary_frame/one_value.bin	 
cpp/tests/fuzz/seed/parse_dbc_json/minimal.json	 
cpp/tests/fuzz/seed/parse_dbc_json/one_message.json	 
cpp/tests/fuzz/seed/parse_rational_number/dict.txt	 
cpp/tests/fuzz/seed/parse_rational_number/int64_overflow.txt	 
cpp/tests/fuzz/seed/parse_rational_number/integer.txt	 
cpp/tests/fuzz/seed/parse_rational_number/zero_denominator.txt	 
cpp/tests/fuzz/seed/parse_response/ack.json	 
cpp/tests/fuzz/seed/parse_response/error.json	 
cpp/tests/fuzz/seed/parse_response/error_bound.json	 
cpp/tests/fuzz/seed/parse_response/error_issues.json	 
cpp/tests/fuzz/seed/parse_response/property_batch.json	 
cpp/tests/fuzz/seed/parse_response/success.json	 
cpp/tests/fuzz/seed/parse_response/validation.json	 
cpp/tests/fuzz/seed/parse_response/validation_with_issue.json	 
cpp/tests/integration_tests.cpp	 
cpp/tests/repo_root.hpp	 
cpp/tests/rts_heap_cap_workload.cpp	 
cpp/tests/rts_init_renderer_uninitialized_tests.cpp	 
cpp/tests/rts_setup_listener.cpp	 
cpp/tests/static_tests.cpp	 
cpp/tests/temp_path.hpp	 
cpp/tests/test_cross_binding_integration.cpp	 
cpp/tests/test_feature_matrix_parity.cpp	 
cpp/tests/test_helpers.hpp	 
cpp/tests/test_log_events_parity.cpp	 
cpp/tests/test_rts_heap_cap.cpp	 
cpp/tests/test_rts_params_parity.cpp	 
cpp/tests/test_wire_codes_parity.cpp	 
cpp/tests/testdata/doc_examples/checks.yaml	 
cpp/tests/text_file.hpp	 
cpp/tests/unit_tests_cancel.cpp	 
cpp/tests/unit_tests_check.cpp	 
cpp/tests/unit_tests_client.cpp	 
cpp/tests/unit_tests_dbc.cpp	probes/cpp_.clang-tidy--the-gate-fails-on-a-discarded-return.sh 
cpp/tests/unit_tests_decimal.cpp	 
cpp/tests/unit_tests_enrich.cpp	 
cpp/tests/unit_tests_ffi_logic.cpp	 
cpp/tests/unit_tests_input_bounds.cpp	 
cpp/tests/unit_tests_json.cpp	 
cpp/tests/unit_tests_log.cpp	 
cpp/tests/unit_tests_property.cpp	 
cpp/tests/unit_tests_validation.cpp	 
cpp/tests/yaml_tests.cpp	 
# 107 tracked files under cpp/, 42 named by a probe
